Age,Incidence and Survival Assumptions,Year,Sex,Annual Cost Increase (applied to initial and last phases),Total Costs,Initial Year After Diagnosis Cost,Continuing Phase Cost,Last Year of Life Cost,"Standard Deviation for all Initial, Continuing, and Last year",Initial Cost Exceeds Last Year of Life
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,124565.6,40463.5,46642.8,37459.2,4682.379664586519,True
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,122420.8,38552.7,46671.9,37196.3,5124.259701979725,True
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,125397.7,40463.5,47136.3,37797.9,4810.360308057323,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,123236.3,38552.7,47155.7,37527.8,5287.697788578061,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,123236.3,38552.7,47155.7,37527.8,5287.697788578061,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,123236.3,38552.7,47155.7,37527.8,5287.697788578061,True
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,3980.7,978.7,1895.8,1106.3,496.7669507257234,False
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,3885.2,923.3,1872.3,1089.7,506.7466033433278,False
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,3987.7,978.7,1900.2,1108.8,498.7320957521517,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,3891.9,923.3,1876.5,1092.2,508.63279812978374,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,3891.9,923.3,1876.5,1092.2,508.63279812978374,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,3891.9,923.3,1876.5,1092.2,508.63279812978374,False
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,4469.3,1262.2,1062.9,2144.2,575.4497053030206,False
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,4437.6,1239.1,1061.6,2136.8,576.4006968536154,False
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,4501.8,1262.2,1070.5,2169.2,586.8758500171336,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,4469.7,1239.1,1069.1,2161.5,587.8009186791052,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,4469.7,1239.1,1069.1,2161.5,587.8009186791052,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,4469.7,1239.1,1069.1,2161.5,587.8009186791052,False
All ages,Incidence/Survival at constant rate,2010,Females,0%,16499.8,6037.6,6742.4,3719.9,1581.348716549684,True
All ages,Incidence follows recent trend/Survival constant,2010,Females,0%,15920.9,5634.7,6639.5,3646.6,1523.1335605695692,True
All ages,Survival follows recent trend/Incidence constant,2010,Females,0%,16512.2,6037.6,6750.1,3724.5,1581.7892411232713,True
All ages,Incidence/Survival follow recent trends,2010,Females,0%,15932.6,5634.7,6646.9,3651.0,1523.9767791319305,True
All ages,Incidence/Survival follow recent trends,2010,Females,2%,15932.6,5634.7,6646.9,3651.0,1523.9767791319305,True
All ages,Incidence/Survival follow recent trends,2010,Females,5%,15932.6,5634.7,6646.9,3651.0,1523.9767791319305,True
All ages,Incidence/Survival at constant rate,2010,Females,0%,1545.7,492.5,368.3,684.9,159.5195703772215,False
All ages,Incidence follows recent trend/Survival constant,2010,Females,0%,1394.1,386.0,355.7,652.4,163.2574347464764,False
All ages,Survival follows recent trend/Incidence constant,2010,Females,0%,1546.0,492.5,368.4,685.2,159.63308971931022,False
All ages,Incidence/Survival follow recent trends,2010,Females,0%,1394.4,386.0,355.7,652.6,163.37240689092312,False
All ages,Incidence/Survival follow recent trends,2010,Females,2%,1394.4,386.0,355.7,652.6,163.37240689092312,False
All ages,Incidence/Survival follow recent trends,2010,Females,5%,1394.4,386.0,355.7,652.6,163.37240689092312,False
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,14140.5,5928.9,3904.6,4307.0,1071.6246124459813,True
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,13304.0,5284.2,3845.7,4174.1,753.8181500423913,True
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,14186.2,5928.9,3924.6,4332.8,1059.1963101018302,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,13346.2,5284.2,3864.1,4197.9,742.5355367477932,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,13346.2,5284.2,3864.1,4197.9,742.5355367477932,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,13346.2,5284.2,3864.1,4197.9,742.5355367477932,True
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,1333.3,577.8,146.5,609.0,258.4890004107202,False
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,1318.9,568.0,145.9,605.0,255.05235410270834,False
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,1370.7,577.8,154.1,638.8,264.0002462120064,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,1356.0,568.0,153.4,634.6,260.7304355076331,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,1356.0,568.0,153.4,634.6,260.7304355076331,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,1356.0,568.0,153.4,634.6,260.7304355076331,False
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,3635.7,1080.6,1007.7,1547.4,292.8289432416134,False
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,3517.5,996.8,999.0,1521.7,302.4180715499655,False
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,3640.6,1080.6,1009.5,1550.5,293.9790865577573,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,3522.2,996.8,1000.7,1524.7,303.66363518428307,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,3522.2,996.8,1000.7,1524.7,303.66363518428307,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,3522.2,996.8,1000.7,1524.7,303.66363518428307,False
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,3798.3,1126.3,1586.5,1085.5,278.2234353896163,True
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,3976.2,1260.2,1605.4,1110.7,253.71945793205012,True
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,3816.2,1126.3,1597.0,1092.9,281.89562489214575,True
